Story,Story_Version,SentenceIndex,Original_N,Version_N,Alignment_Method,Changed_Spans
Story17,RD,3,25,25,position,4-4
Story17,RD,4,20,20,position,9-9
Story18,CD,1,6,6,position,
Story18,CD,2,17,17,position,
Story18,CD,3,15,15,position,10-10
Story18,CD,4,15,15,position,
Story18,CD,5,14,14,position,5-5
Story18,CD,6,28,28,position,22-22
Story18,RD,1,6,6,position,
Story18,RD,2,17,17,position,
Story18,RD,3,15,15,position,3-3
Story18,RD,4,15,15,position,6-6
Story18,RD,5,14,14,position,4-4
Story18,RD,6,28,28,position,23-23
Story19,CD,1,27,27,position,23-23
Story19,CD,2,45,45,position,8-8;41-41
Story19,CD,3,21,21,position,
Story19,CD,4,14,14,position,
Story19,RD,1,27,27,position,
Story19,RD,2,45,45,position,17-17;45-45
Story19,RD,3,21,21,position,12-12;14-14
Story19,RD,4,14,14,position,5-5
Story20,CD,1,19,19,position,
Story20,CD,2,1,1,position,
Story20,CD,3,18,18,position,15-15
Story20,CD,4,14,14,position,
Story20,CD,5,31,31,position,25-25
Story20,RD,1,19,19,position,
Story20,RD,2,1,1,position,
Story20,RD,3,18,18,position,2-2;14-14
Story20,RD,4,14,14,position,13-13
Story20,RD,5,31,31,position,7-7
Story21,CD,1,16,16,position,
Story21,CD,2,17,17,position,14-15
Story21,CD,3,24,24,position,14-14
Story21,CD,4,17,17,position,
Story21,RD,1,16,16,position,
Story21,RD,2,17,17,position,6-6
Story21,RD,3,24,24,position,9-9
Story21,RD,4,17,17,position,5-5
