DistType,Story,SentenceIndex,PositionUnitID,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story6,3,CD_Story6_s3,K,61,61,pocket,head,12.289026260375977,2.5722668170928955,9.716759443283081,0.13108402490615845
CD,Story6,3,CD_Story6_s3,K+1,62,62,they,they,0.7513144612312317,0.16428062319755554,0.5870338380336761,0.0728875994682312
CD,Story6,3,CD_Story6_s3,K+2,63,63,originally,originally,4.429948329925537,4.930618762969971,-0.5006704330444336,0.10470819473266602
CD,Story6,3,CD_Story6_s3,K+3,64,64,belonged,belonged,1.1557645797729492,1.6220823526382446,-0.4663177728652954,0.0391308069229126
CD,Story6,3,CD_Story6_s3,K_END,65,65,"to?""","to?""",0.8518435955047607,0.6858097910881042,0.1660338044166565,0.0021110177040100098
RD,Story6,2,RD_Story6_s2,K-3,22,22,and,and,2.0049097537994385,2.0049097537994385,0.0,5.960464477539063e-08
RD,Story6,2,RD_Story6_s2,K-2,23,23,"wig,","wig,",12.910350799560547,12.910350799560547,0.0,-1.1920928955078125e-07
RD,Story6,2,RD_Story6_s2,K-1,24,24,causing,causing,3.391258955001831,3.391258955001831,0.0,0.0
RD,Story6,2,RD_Story6_s2,K,25,25,her,his,7.711328983306885,2.7738289833068848,4.9375,0.39902031421661377
RD,Story6,2,RD_Story6_s2,K+1,26,26,companions,companions,12.394457817077637,7.4160261154174805,4.978431701660156,0.014434278011322021
RD,Story6,2,RD_Story6_s2,K+2,27,27,to,to,6.327175140380859,6.219744682312012,0.10743045806884766,0.00940161943435669
RD,Story6,2,RD_Story6_s2,K+3,28,28,burst,burst,5.399767875671387,6.338863849639893,-0.9390959739685059,0.0024847984313964844
RD,Story6,2,RD_Story6_s2,K_END,30,30,laughter.,laughter.,2.677407741546631,3.048966407775879,-0.37155866622924805,0.017865777015686035
RD,Story6,3,RD_Story6_s3,K-1,31,31,Stopping,Stopping,13.347187995910645,13.921394348144531,-0.5742063522338867,0.008390307426452637
RD,Story6,3,RD_Story6_s3,K,32,32,a,his,5.273540496826172,2.558232069015503,2.715308427810669,0.567300409078598
RD,Story6,3,RD_Story6_s3,K+1,33,33,"horse,","horse,",11.905137062072754,1.0539186000823975,10.851218461990356,0.043937504291534424
RD,Story6,3,RD_Story6_s3,K+2,34,34,he,he,0.8986365795135498,0.7950467467308044,0.10358983278274536,0.013985931873321533
RD,Story6,3,RD_Story6_s3,K+3,35,35,laughed,laughed,12.30512809753418,11.940513610839844,0.36461448669433594,0.012439966201782227
RD,Story6,3,RD_Story6_s3,K-3,52,52,leave,leave,4.708516597747803,4.71873140335083,-0.010214805603027344,0.0029402971267700195
RD,Story6,3,RD_Story6_s3,K-2,53,53,me,me,3.3863487243652344,3.3450026512145996,0.041346073150634766,0.002911388874053955
RD,Story6,3,RD_Story6_s3,K-1,54,54,when,when,5.571530342102051,5.311357498168945,0.26017284393310547,0.002928495407104492
RD,Story6,3,RD_Story6_s3,K,55,55,she,they,9.214019775390625,2.8509373664855957,6.363082408905029,0.25019049644470215
RD,Story6,3,RD_Story6_s3,K+1,56,56,already,already,8.761101722717285,8.58450698852539,0.17659473419189453,0.11883097887039185
RD,Story6,3,RD_Story6_s3,K+2,57,57,abandoned,abandoned,8.70694637298584,9.058123588562012,-0.3511772155761719,0.10150706768035889
RD,Story6,3,RD_Story6_s3,K+3,58,58,the,the,4.632839679718018,2.961880922317505,1.6709587574005127,0.1269228458404541
RD,Story6,3,RD_Story6_s3,K_END,65,65,"to?""","to?""",0.7177201509475708,0.6858097910881042,0.03191035985946655,0.019857048988342285
CD,Story7,2,CD_Story7_s2,K-3,21,21,with,with,1.9369616508483887,1.9369616508483887,0.0,-1.1920928955078125e-07
CD,Story7,2,CD_Story7_s2,K-2,22,22,a,a,2.4431324005126953,2.4431324005126953,0.0,0.0
CD,Story7,2,CD_Story7_s2,K-1,23,23,hard,hard,8.461718559265137,8.461718559265137,0.0,5.960464477539063e-08
CD,Story7,2,CD_Story7_s2,K,24,24,feather,slap,9.131646156311035,4.9811835289001465,4.150462627410889,0.2736530303955078
CD,Story7,2,CD_Story7_s2,K+1,25,25,but,but,2.5029826164245605,2.4675686359405518,0.03541398048400879,0.00974893569946289
CD,Story7,2,CD_Story7_s2,K+2,26,26,ended,ended,5.845926284790039,5.313969612121582,0.531956672668457,0.008875548839569092
CD,Story7,2,CD_Story7_s2,K+3,27,27,up,up,0.0815005823969841,0.08122870326042175,0.0002718791365623474,0.019852042198181152
CD,Story7,2,CD_Story7_s2,K_END,30,30,instead.,instead.,3.0436038970947266,2.8429791927337646,0.20062470436096191,0.008104085922241211
CD,Story7,3,CD_Story7_s3,K-3,39,39,wanted,wanted,7.1972336769104,7.017585277557373,0.17964839935302734,0.0033158063888549805
CD,Story7,3,CD_Story7_s3,K-2,40,40,to,to,1.917248010635376,1.9163731336593628,0.0008748769760131836,0.009305298328399658
CD,Story7,3,CD_Story7_s3,K-1,41,41,take,take,12.579939842224121,12.729040145874023,-0.14910030364990234,0.006955265998840332
CD,Story7,3,CD_Story7_s3,K,42,42,notes,revenge,13.433889389038086,12.396471977233887,1.0374174118041992,0.1693289875984192
CD,Story7,3,CD_Story7_s3,K+1,43,43,on,on,2.4507884979248047,0.6867903470993042,1.7639981508255005,0.062109410762786865
CD,Story7,3,CD_Story7_s3,K+2,44,44,a,a,5.484399318695068,6.0237298011779785,-0.5393304824829102,0.11774933338165283
CD,Story7,3,CD_Story7_s3,K+3,45,45,tiny,tiny,12.885974884033203,10.818560600280762,2.0674142837524414,0.06426656246185303
CD,Story7,3,CD_Story7_s3,K_END,71,71,harm.,harm.,5.404245376586914,5.14711332321167,0.25713205337524414,0.005788326263427734
CD,Story7,4,CD_Story7_s4,K-3,78,78,that,that,3.9354004859924316,4.132530689239502,-0.1971302032470703,0.0056948065757751465
CD,Story7,4,CD_Story7_s4,K-2,79,79,enjoys,enjoys,8.382139205932617,8.703994750976562,-0.3218555450439453,0.005551338195800781
CD,Story7,4,CD_Story7_s4,K-1,80,80,biting,biting,2.4874179363250732,2.469667911529541,0.017750024795532227,0.004558682441711426
CD,Story7,4,CD_Story7_s4,K,81,81,"dreams,","people,",15.82519817352295,1.5323450565338135,14.292853116989136,0.012214720249176025
CD,Story7,4,CD_Story7_s4,K+1,82,82,I,I,10.620357513427734,11.23215103149414,-0.6117935180664062,0.004835605621337891
