DistType,Story,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord
CD,Story8,6,CD_Story8_s6_k95,95,0,0,19,1,95,95,"sneeze,","situation,"
CD,Story8,6,CD_Story8_s6_k95,95,1,0,19,1,96,96,the,the
CD,Story8,6,CD_Story8_s6_k95,95,2,0,19,1,97,97,Bat,Bat
CD,Story8,6,CD_Story8_s6_k95,95,3,0,19,1,98,98,"said,","said,"
CD,Story8,6,CD_Story8_s6_k95,95,4,0,19,1,99,99,“Now,“Now
CD,Story8,6,CD_Story8_s6_k95,95,5,0,19,1,100,100,I,I
CD,Story8,6,CD_Story8_s6_k95,95,6,0,19,1,101,101,understand:,understand:
CD,Story8,6,CD_Story8_s6_k95,95,7,0,19,1,102,102,‘One,‘One
CD,Story8,6,CD_Story8_s6_k95,95,8,0,19,1,103,103,who,who
CD,Story8,6,CD_Story8_s6_k95,95,9,0,19,1,104,104,tries,tries
CD,Story8,6,CD_Story8_s6_k95,95,10,0,19,1,105,105,to,to
CD,Story9,2,CD_Story9_s2_k25,25,0,0,5,1,25,25,"whispers,","branches,"
CD,Story9,2,CD_Story9_s2_k25,25,1,0,5,1,26,26,leaving,leaving
CD,Story9,2,CD_Story9_s2_k25,25,2,0,5,1,27,27,the,the
CD,Story9,2,CD_Story9_s2_k25,25,3,0,5,1,28,28,other,other
CD,Story9,2,CD_Story9_s2_k25,25,4,0,5,1,29,29,man,man
CD,Story9,2,CD_Story9_s2_k25,25,5,1,5,1,30,30,behind.,behind.
CD,Story9,5,CD_Story9_s5_k52,52,0,0,14,1,52,52,"future,","breath,"
CD,Story9,5,CD_Story9_s5_k52,52,1,0,14,1,53,53,the,the
CD,Story9,5,CD_Story9_s5_k52,52,2,0,14,1,54,54,man,man
CD,Story9,5,CD_Story9_s5_k52,52,3,0,14,1,55,55,pretended,pretended
CD,Story9,5,CD_Story9_s5_k52,52,4,0,14,1,56,56,to,to
CD,Story9,5,CD_Story9_s5_k52,52,5,0,14,1,57,57,be,be
CD,Story9,5,CD_Story9_s5_k52,52,6,0,14,1,58,58,"dead,","dead,"
CD,Story9,5,CD_Story9_s5_k52,52,7,0,14,1,59,59,knowing,knowing
CD,Story9,5,CD_Story9_s5_k52,52,8,0,14,1,60,60,that,that
CD,Story9,5,CD_Story9_s5_k52,52,9,0,14,1,61,61,bears,bears
CD,Story9,5,CD_Story9_s5_k52,52,10,0,14,1,62,62,are,are
CD,Story9,8,CD_Story9_s8_k116,116,0,0,3,1,116,116,"prayer,","danger,"
CD,Story9,8,CD_Story9_s8_k116,116,1,0,3,1,117,117,especially,especially
CD,Story9,8,CD_Story9_s8_k116,116,2,0,3,1,118,118,without,without
CD,Story9,8,CD_Story9_s8_k116,116,3,1,3,1,119,119,hesitation.”,hesitation.”
CD,Story10,3,CD_Story10_s3_k65,65,0,0,4,2,65,65,compliment,request
CD,Story10,3,CD_Story10_s3_k65,65,1,0,4,2,66,66,but,but
CD,Story10,3,CD_Story10_s3_k65,65,2,0,4,2,67,67,honored,honored
CD,Story10,3,CD_Story10_s3_k65,65,3,0,4,2,68,68,his,his
CD,Story10,3,CD_Story10_s3_k65,65,4,1,4,2,69,69,promise.,promise.
CD,Story10,5,CD_Story10_s5_k94,94,0,0,9,1,94,94,city,wound
CD,Story10,5,CD_Story10_s5_k94,94,1,0,9,1,95,95,you,you
CD,Story10,5,CD_Story10_s5_k94,94,2,0,9,1,96,96,"inflict,","inflict,"
CD,Story10,5,CD_Story10_s5_k94,94,3,0,9,1,97,97,and,and
CD,Story10,5,CD_Story10_s5_k94,94,4,0,9,1,98,98,you,you
CD,Story10,5,CD_Story10_s5_k94,94,5,0,9,1,99,99,will,will
CD,Story10,5,CD_Story10_s5_k94,94,6,0,9,1,100,100,die,die
CD,Story10,5,CD_Story10_s5_k94,94,7,0,9,1,101,101,because,because
CD,Story10,5,CD_Story10_s5_k94,94,8,0,9,1,102,102,of,of
CD,Story10,5,CD_Story10_s5_k94,94,9,1,9,1,103,103,it.”,it.”
CD,Story11,2,CD_Story11_s2_k22,22,0,0,2,1,22,22,dreams,food
CD,Story11,2,CD_Story11_s2_k22,22,1,0,2,1,23,23,left,left
CD,Story11,2,CD_Story11_s2_k22,22,2,1,2,1,24,24,over.,over.
CD,Story11,4,CD_Story11_s4_k64,64,0,0,3,1,64,64,"wall,","window,"
CD,Story11,4,CD_Story11_s4_k64,64,1,0,3,1,65,65,with,with
CD,Story11,4,CD_Story11_s4_k64,64,2,0,3,1,66,66,no,no
CD,Story11,4,CD_Story11_s4_k64,64,3,1,3,1,67,67,hesitation.,hesitation.
CD,Story11,7,CD_Story11_s7_k100,100,0,0,5,1,100,100,light,wine
CD,Story11,7,CD_Story11_s7_k100,100,1,0,5,1,101,101,that,that
CD,Story11,7,CD_Story11_s7_k100,100,2,0,5,1,102,102,I,I
CD,Story11,7,CD_Story11_s7_k100,100,3,0,5,1,103,103,don’t,don’t
CD,Story11,7,CD_Story11_s7_k100,100,4,0,5,1,104,104,remember,remember
CD,Story11,7,CD_Story11_s7_k100,100,5,1,5,1,105,105,anything.,anything.
CD,Story12,2,CD_Story12_s2_k33,33,0,0,2,1,33,33,curtain,jar
CD,Story12,2,CD_Story12_s2_k33,33,1,0,2,1,34,34,trapped,trapped
CD,Story12,2,CD_Story12_s2_k33,33,2,1,2,1,35,35,him.,him.
CD,Story12,3,CD_Story12_s3_k48,48,0,0,6,1,48,48,"paw,","hand,"
CD,Story12,3,CD_Story12_s3_k48,48,1,0,6,1,49,49,he,he
CD,Story12,3,CD_Story12_s3_k48,48,2,0,6,1,50,50,started,started
CD,Story12,3,CD_Story12_s3_k48,48,3,0,6,1,51,51,to,to
CD,Story12,3,CD_Story12_s3_k48,48,4,0,6,1,52,52,cry,cry
CD,Story12,3,CD_Story12_s3_k48,48,5,0,6,1,53,53,in,in
CD,Story12,3,CD_Story12_s3_k48,48,6,1,6,1,54,54,frustration.,frustration.
CD,Story13,2,CD_Story13_s2_k50,50,0,0,6,2,50,50,"truth,","bundle,"
CD,Story13,2,CD_Story13_s2_k50,50,1,0,6,2,51,51,no,no
CD,Story13,2,CD_Story13_s2_k50,50,2,0,6,2,52,52,matter,matter
CD,Story13,2,CD_Story13_s2_k50,50,3,0,6,2,53,53,how,how
CD,Story13,2,CD_Story13_s2_k50,50,4,0,6,2,54,54,hard,hard
CD,Story13,2,CD_Story13_s2_k50,50,5,0,6,2,55,55,he,he
CD,Story13,2,CD_Story13_s2_k50,50,6,1,6,2,56,56,tried.,tried.
CD,Story13,4,CD_Story13_s4_k73,73,0,0,22,1,73,73,wind,bundle
CD,Story13,4,CD_Story13_s4_k73,73,1,0,22,1,74,74,and,and
CD,Story13,4,CD_Story13_s4_k73,73,2,0,22,1,75,75,take,take
CD,Story13,4,CD_Story13_s4_k73,73,3,0,22,1,76,76,a,a
CD,Story13,4,CD_Story13_s4_k73,73,4,0,22,1,77,77,stick,stick
CD,Story13,4,CD_Story13_s4_k73,73,5,0,22,1,78,78,"each.""","each."""
CD,Story13,4,CD_Story13_s4_k73,73,6,0,22,1,79,79,Once,Once
CD,Story13,4,CD_Story13_s4_k73,73,7,0,22,1,80,80,they,they
CD,Story13,4,CD_Story13_s4_k73,73,8,0,22,1,81,81,had,had
CD,Story13,4,CD_Story13_s4_k73,73,9,0,22,1,82,82,done,done
CD,Story13,4,CD_Story13_s4_k73,73,10,0,22,1,83,83,"so,","so,"
CD,Story14,2,CD_Story14_s2_k54,54,0,0,3,2,54,54,"work,","night,"
CD,Story14,2,CD_Story14_s2_k54,54,1,0,3,2,55,55,with,with
CD,Story14,2,CD_Story14_s2_k54,54,2,0,3,2,56,56,genuine,genuine
CD,Story14,2,CD_Story14_s2_k54,54,3,1,3,2,57,57,curiosity.,curiosity.
CD,Story14,4,CD_Story14_s4_k79,79,0,0,3,1,79,79,"eggs,","nets,"
CD,Story14,4,CD_Story14_s4_k79,79,1,0,3,1,80,80,and,and
CD,Story14,4,CD_Story14_s4_k79,79,2,0,3,1,81,81,caught,caught
CD,Story14,4,CD_Story14_s4_k79,79,3,1,3,1,82,82,me.,me.
CD,Story15,1,CD_Story15_s1_k14,14,0,0,4,1,14,14,success,size
CD,Story15,1,CD_Story15_s1_k14,14,1,0,4,1,15,15,that,that
CD,Story15,1,CD_Story15_s1_k14,14,2,0,4,1,16,16,they,they
CD,Story15,1,CD_Story15_s1_k14,14,3,0,4,1,17,17,ran,ran
