DistType,Model,Bootstrap,Metric,Estimate
CD,log_normal,35,EffectAtKPlus10,0.020770863442153998
CD,log_normal,35,LocalComponentAtKPlus10,5.02715890058486e-07
CD,log_normal,36,Baseline,0.01826111697435177
CD,log_normal,36,Amplitude,0.08930603201337974
CD,log_normal,36,PeakDistance,1.5045922958739897
CD,log_normal,36,PeakEffect,0.10756714898773151
CD,log_normal,36,HalfMaximumLow,0.9329674301933707
CD,log_normal,36,HalfMaximumHigh,2.4264490951566864
CD,log_normal,36,EffectAtKPlus1,0.07207763977309155
CD,log_normal,36,EffectAtKPlus10,0.018262786161514263
CD,log_normal,36,LocalComponentAtKPlus10,1.6691871624931187e-06
CD,log_normal,37,Baseline,0.021749826255122222
CD,log_normal,37,Amplitude,0.07069397553210222
CD,log_normal,37,PeakDistance,1.5186974257050494
CD,log_normal,37,PeakEffect,0.09244380178722444
CD,log_normal,37,HalfMaximumLow,0.9559482888514702
CD,log_normal,37,HalfMaximumHigh,2.4127266063881256
CD,log_normal,37,EffectAtKPlus1,0.06193775756105262
CD,log_normal,37,EffectAtKPlus10,0.021750549169415635
CD,log_normal,37,LocalComponentAtKPlus10,7.229142934134236e-07
CD,log_normal,38,Baseline,0.023396272467133414
CD,log_normal,38,Amplitude,0.07145627690385123
CD,log_normal,38,PeakDistance,1.3446729475662003
CD,log_normal,38,PeakEffect,0.09485254937098464
CD,log_normal,38,HalfMaximumLow,0.8932646740449591
CD,log_normal,38,HalfMaximumHigh,2.0241988611601207
CD,log_normal,38,EffectAtKPlus1,0.07308163435975619
CD,log_normal,38,EffectAtKPlus10,0.023396276543604697
CD,log_normal,38,LocalComponentAtKPlus10,4.0764712820606785e-09
CD,log_normal,39,Baseline,0.07967251074968512
CD,log_normal,39,Amplitude,-0.07965446574436191
CD,log_normal,39,PeakDistance,4.885328536831833
CD,log_normal,39,PeakEffect,1.8045005323208407e-05
CD,log_normal,39,HalfMaximumLow,3.033093290333994
CD,log_normal,39,HalfMaximumHigh,7.868678154029137
CD,log_normal,39,EffectAtKPlus1,0.07963557843116797
CD,log_normal,39,EffectAtKPlus10,0.06302697233274734
CD,log_normal,39,LocalComponentAtKPlus10,-0.016645538416937777
CD,log_normal,40,Baseline,0.07904468774864506
CD,log_normal,40,Amplitude,-0.06791822327738813
CD,log_normal,40,PeakDistance,5.029411619753755
CD,log_normal,40,PeakEffect,0.011126464471256939
CD,log_normal,40,HalfMaximumLow,2.859356217826563
CD,log_normal,40,HalfMaximumHigh,8.846390345915406
CD,log_normal,40,EffectAtKPlus1,0.07881083516800523
CD,log_normal,40,EffectAtKPlus10,0.0547176277670621
CD,log_normal,40,LocalComponentAtKPlus10,-0.024327059981582966
CD,log_normal,41,Baseline,0.01505764316533966
CD,log_normal,41,Amplitude,0.10686904856705592
CD,log_normal,41,PeakDistance,1.4884348630029902
CD,log_normal,41,PeakEffect,0.12192669173239558
CD,log_normal,41,HalfMaximumLow,0.902192826065235
CD,log_normal,41,HalfMaximumHigh,2.4556151161886297
CD,log_normal,41,EffectAtKPlus1,0.08406156504088076
CD,log_normal,41,EffectAtKPlus10,0.015062332248133591
CD,log_normal,41,LocalComponentAtKPlus10,4.689082793931862e-06
CD,log_normal,42,Baseline,0.011122701739541009
CD,log_normal,42,Amplitude,0.08226069880045125
CD,log_normal,42,PeakDistance,1.6124391460004484
CD,log_normal,42,PeakEffect,0.09338340053999226
CD,log_normal,42,HalfMaximumLow,0.9660272825559525
CD,log_normal,42,HalfMaximumHigh,2.6913939663024635
CD,log_normal,42,EffectAtKPlus1,0.05614320726444891
CD,log_normal,42,EffectAtKPlus10,0.011135170860832584
CD,log_normal,42,LocalComponentAtKPlus10,1.246912129157507e-05
CD,log_normal,43,Baseline,0.012473047971118135
CD,log_normal,43,Amplitude,0.09761491509400831
CD,log_normal,43,PeakDistance,1.5818430311310756
CD,log_normal,43,PeakEffect,0.11008796306512644
CD,log_normal,43,HalfMaximumLow,0.9616840844914943
CD,log_normal,43,HalfMaximumHigh,2.601922414532878
CD,log_normal,43,EffectAtKPlus1,0.06666018264525717
CD,log_normal,43,EffectAtKPlus10,0.01248023472498516
CD,log_normal,43,LocalComponentAtKPlus10,7.1867538670254e-06
CD,log_normal,44,Baseline,0.025878934605093704
CD,log_normal,44,Amplitude,0.08854501121904972
CD,log_normal,44,PeakDistance,1.4940522851450524
CD,log_normal,44,PeakEffect,0.11442394582414342
CD,log_normal,44,HalfMaximumLow,1.0222726262225241
CD,log_normal,44,HalfMaximumHigh,2.1835586452074853
