Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,DistType,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,ItemID,Condition
P002,Story9,CD,"dead,",328.5,CD,58,5,5.794536837924665,1,False,9,1,12.655444164049937,4,57.0,5.843544417584217,Story9_CD_w58,0.25376229101028525,CD,5,CD_Story9_s5_k52,52,6,0,14,1,58,58,"dead,","dead,",CD_Story9_s5_k52_d6_dw58_ow58,CD
P002,Story9,CD,knowing,568.5000000476866,CD,59,5,6.343001313274472,1,False,9,1,14.086078518379798,7,58.0,5.794536837924665,Story9_CD_w59,0.8225149785032073,CD,5,CD_Story9_s5_k52,52,7,0,14,1,59,59,knowing,knowing,CD_Story9_s5_k52_d7_dw59_ow59,CD
P002,Story9,CD,that,498.1000000476815,CD,60,5,6.210800860174964,1,False,9,1,6.6152870375779536,4,59.0,6.343001313274472,Story9_CD_w60,0.46326059402901354,CD,5,CD_Story9_s5_k52,52,8,0,14,1,60,60,that,that,CD_Story9_s5_k52_d8_dw60_ow60,CD
P002,Story9,CD,bears,511.0,CD,61,5,6.236369590203704,1,False,9,1,15.478709604610364,5,60.0,6.210800860174964,Story9_CD_w61,0.5435578141511428,CD,5,CD_Story9_s5_k52,52,9,0,14,1,61,61,bears,bears,CD_Story9_s5_k52_d9_dw61_ow61,CD
P002,Story9,CD,are,347.3000001907349,CD,62,5,5.850188960299222,1,False,9,1,7.50635266602479,3,61.0,6.236369590203704,Story9_CD_w62,0.14679221305125,CD,5,CD_Story9_s5_k52,52,10,0,14,1,62,62,are,are,CD_Story9_s5_k52_d10_dw62_ow62,CD
P002,Story9,CD,especially,351.5000000476794,K+1,117,8,5.862209711386365,1,False,9,1,12.59171856643955,10,116.0,5.605434350936952,Story9_CD_w117,0.4200082337626956,CD,8,CD_Story9_s8_k116,116,1,0,3,1,117,117,especially,especially,CD_Story9_s8_k116_d1_dw117_ow117,CD
P002,Story9,CD,without,1390.400000095367,K+2,118,8,7.2373467545797165,1,False,9,1,10.994930630321603,7,117.0,5.862209711386365,Story9_CD_w118,1.6888451286501667,CD,8,CD_Story9_s8_k116,116,2,0,3,1,118,118,without,without,CD_Story9_s8_k116_d2_dw118_ow118,CD
P002,Story9,CD,hesitation.”,280.4000001430468,K+3|K_END,119,8,5.636217155670588,1,False,9,1,18.103749544706854,10,118.0,7.2373467545797165,Story9_CD_w119,-0.48156522748006303,CD,8,CD_Story9_s8_k116,116,3,1,3,1,119,119,hesitation.”,hesitation.”,CD_Story9_s8_k116_d3_dw119_ow119,CD
P002,Story12,CD,trapped,190.7999999998137,K+1,34,2,5.251225759013209,1,False,12,1,15.977372258937299,7,33.0,5.435467205110996,Story12_CD_w34,-0.1206125312049231,CD,2,CD_Story12_s2_k33,33,1,0,2,1,34,34,trapped,trapped,CD_Story12_s2_k33_d1_dw34_ow34,CD
P002,Story12,CD,him.,187.7000000001863,K+2|K_END,35,2,5.234844943593456,1,False,12,1,9.598413219013558,3,34.0,5.251225759013209,Story12_CD_w35,-0.060720868572238906,CD,2,CD_Story12_s2_k33,33,2,1,2,1,35,35,him.,him.,CD_Story12_s2_k33_d2_dw35_ow35,CD
P002,Story12,CD,he,154.7999999998137,K+1,49,3,5.042133961154423,1,False,12,1,7.673002535434241,2,48.0,4.772378104973574,Story12_CD_w49,-0.055197968479678394,CD,3,CD_Story12_s3_k48,48,1,0,6,1,49,49,he,he,CD_Story12_s3_k48_d1_dw49_ow49,CD
P002,Story12,CD,started,566.59999995213,K+2,50,3,6.33965358731193,1,False,12,1,11.994930630321603,7,49.0,5.042133961154423,Story12_CD_w50,1.1306478293626165,CD,3,CD_Story12_s3_k48,48,2,0,6,1,50,50,started,started,CD_Story12_s3_k48_d2_dw50_ow50,CD
P002,Story12,CD,to,181.8000001432356,K+3,51,3,5.202907182531253,1,False,12,1,5.216250016992825,2,50.0,6.33965358731193,Story12_CD_w51,-0.543247188310402,CD,3,CD_Story12_s3_k48,48,3,0,6,1,51,51,to,to,CD_Story12_s3_k48_d3_dw51_ow51,CD
P002,Story12,CD,cry,143.5,CD,52,3,4.966335035199676,1,False,12,1,14.649870319225345,3,51.0,5.202907182531253,Story12_CD_w52,-0.3092277991219943,CD,3,CD_Story12_s3_k48,48,4,0,6,1,52,52,cry,cry,CD_Story12_s3_k48_d4_dw52_ow52,CD
P002,Story12,CD,in,186.6000001430493,CD,53,3,5.228967289179852,1,False,12,1,5.748553568441418,2,52.0,4.966335035199676,Story12_CD_w53,0.05134085460609228,CD,3,CD_Story12_s3_k48,48,5,0,6,1,53,53,in,in,CD_Story12_s3_k48_d5_dw53_ow53,CD
P002,Story12,CD,frustration.,196.0000000474975,K_END,54,3,5.278114659472851,1,False,12,1,16.70969148824714,11,53.0,5.228967289179852,Story12_CD_w54,-0.008236566681916635,CD,3,CD_Story12_s3_k48,48,6,1,6,1,54,54,frustration.,frustration.,CD_Story12_s3_k48_d6_dw54_ow54,CD
P002,Story17,CD,with,168.2999999523163,K+1,37,2,5.125748100913435,1,False,17,1,7.142034924353815,4,36.0,4.939497267624234,Story17_CD_w37,-0.040768004894844445,CD,2,CD_Story17_s2_k36,36,1,0,3,1,37,37,with,with,CD_Story17_s2_k36_d1_dw37_ow37,CD
P002,Story17,CD,feigned,173.6000000000922,K+2,38,2,5.156753802226781,1,False,17,1,21.093221832802943,7,37.0,5.125748100913435,Story17_CD_w38,-0.08686662997046213,CD,2,CD_Story17_s2_k36,36,2,0,3,1,38,38,feigned,feigned,CD_Story17_s2_k36_d2_dw38_ow38,CD
P002,Story17,CD,indignation.,134.0000000954606,K+3|K_END,39,2,4.897839800663304,1,False,17,1,19.66853416349038,11,38.0,5.156753802226781,Story17_CD_w39,-0.3586164061276076,CD,2,CD_Story17_s2_k36,36,3,1,3,1,39,39,indignation.,indignation.,CD_Story17_s2_k36_d3_dw39_ow39,CD
P002,Story17,CD,with,192.2000001431443,K+1,59,3,5.258536497280959,1,False,17,1,7.142034924353815,4,58.0,5.164214382024024,Story17_CD_w59,-0.0010082486030604798,CD,3,CD_Story17_s3_k58,58,1,0,6,1,59,59,with,with,CD_Story17_s3_k58_d1_dw59_ow59,CD
P002,Story17,CD,a,109.7000001431443,K+2,60,3,4.697749368586055,1,False,17,1,5.448508591452505,1,59.0,5.258536497280959,Story17_CD_w60,-0.6008429511102973,CD,3,CD_Story17_s3_k58,58,2,0,6,1,60,60,a,a,CD_Story17_s3_k58_d2_dw60_ow60,CD
P002,Story17,CD,tone,173.5,K+3,61,3,5.156177599386914,1,False,17,1,14.982033636307161,4,60.0,4.697749368586055,Story17_CD_w61,0.0897405567543883,CD,3,CD_Story17_s3_k58,58,3,0,6,1,61,61,tone,tone,CD_Story17_s3_k58_d3_dw61_ow61,CD
P002,Story17,CD,of,180.4999999995343,CD,62,3,5.195730777770356,1,False,17,1,5.316168825598678,2,61.0,5.156177599386914,Story17_CD_w62,-0.06048689193029588,CD,3,CD_Story17_s3_k58,58,4,0,6,1,62,62,of,of,CD_Story17_s3_k58_d4_dw62_ow62,CD
P002,Story17,CD,quiet,239.200000095645,CD,63,3,5.477300022476331,1,False,17,1,14.44936564302822,5,62.0,5.195730777770356,Story17_CD_w63,0.2047080841512665,CD,3,CD_Story17_s3_k58,58,5,0,6,1,63,63,quiet,quiet,CD_Story17_s3_k58_d5_dw63_ow63,CD
