Word,FreqH,Length
"half,",11.925944020130295,4
you'll,12.556529137977249,6
able,11.86010620676755,4
"easily.""",13.586385122136509,6
old,10.797142249103247,3
"man,",10.563062107816481,3
"death,",11.960025015373402,5
sons,14.949715916034434,4
give,10.92875355371712,4
final,12.354139741288426,5
advice.,13.68554058879607,6
servants,16.51202967781039,8
bring,12.392409758216143,5
bundle,16.842409437412936,6
sticks,16.144972207433366,6
handed,15.214577674919234,6
eldest,17.63878682009633,6
"son,",12.354139741288426,3
"""Break",12.693163829999095,5
"it.""",6.81035885291489,2
son,12.354139741288426,3
struggled,16.581071322240042,9
all,8.238953067629595,3
strength,13.952000469228988,8
"bundle,",16.842409437412936,6
matter,12.024677973715656,6
tried.,12.75165947930924,5
"one,",8.405069330187608,3
"tried,",12.75165947930924,5
none,13.520481342525574,4
succeeded.,16.144972207433366,9
Then,9.739275754853407,4
father,12.423773929125478,6
"""Untie",21.557502851101635,5
stick,14.086078518379798,5
"each.""",10.994930630321603,4
Once,11.52642710618783,4
done,11.361712960993227,4
"so,",8.238953067629595,2
told,11.492776716745913,4
"""Now,",9.371235735111732,3
"them.""",9.333516069162574,4
This,7.24113401292912,4
"time,",9.002310160687202,4
each,10.994930630321603,4
snapped,17.240034404404973,7
easily.,13.586385122136509,6
see,9.632360550936895,3
"point,""",11.492776716745913,5
said.,9.937215132465315,4
singing,14.649870319225345,7
bird,14.515404404591045,4
kept,13.287712379549449,4
cage,16.176681067160704,4
outside,12.455835138357777,7
habit,15.810553168362809,5
night,11.262683585057927,5
birds,14.616872043667888,5
slept.,16.01509192488646,5
"night,",11.262683585057927,5
bat,15.609640474436812,3
hung,15.913646661326911,4
bars,15.113945311812742,4
"cage,",16.176681067160704,4
asking,13.420606650046794,6
why,10.19855324763821,3
silent,15.113945311812742,6
during,10.895394956770689,6
day,10.132286947802251,3
sang,16.27621674071162,4
genuine,15.383131944628133,7
curiosity.,16.70969148824714,9
good,9.565246355078358,4
"reason,""",12.22420943724329,6
replied.,15.676067836175788,7
"""Once,",11.52642710618783,4
hunter,15.383131944628133,6
heard,12.392409758216143,5
set,11.327942224337981,3
"nets,",17.240034404404973,4
caught,13.620501467068578,6
you.,6.710283551513701,3
Since,10.797142249103247,5
"then,",9.739275754853407,4
I've,10.895394956770689,4
sung,16.90831321702387,4
"night.""",11.262683585057927,5
"responded,",15.74570202401284,9
"""It’s",8.868173488035664,4
doing,11.294943948780524,5
now,9.371235735111732,3
you’re,10.39823883701834,6
trapped.,15.977372258937299,7
been,9.07048166332878,4
careful,14.649870319225345,7
"caught,",13.620501467068578,6
might,11.095518214266104,5
still,10.231128851183081,5
"free.""",11.193476309703684,4
humans,14.58461167994529,6
first,9.598413219013558,5
"camel,",17.8039352895983,5
frightened,17.472136950686878,10
massive,14.21732305165805,7
size,12.854752972273344,4
after,9.598413219013558,5
"while,",10.431722682240968,5
noticing,17.8039352895983,8
animal’s,20.164337532300298,8
calm,14.814704811633275,4
gentle,16.044043298582586,6
"nature,",13.354139741288426,6
gained,14.982033636307161,6
confidence,14.44936564302822,10
approach,13.520481342525574,8
Before,10.19855324763821,6
"long,",10.59617821463025,4
camel,17.8039352895983,5
lacked,17.27392856411635,6
real,11.294943948780524,4
"spirit,",13.984369985062118,6
bold,15.74570202401284,4
bridle,20.661338662086177,6
child,12.287712379549449,5
lead,12.627787821147072,4
"crow,",17.27392856411635,4
dying,14.515404404591045,5
"thirst,",17.8039352895983,6
pitcher,17.30629807994948,7
"and,",5.282087830355572,3
hoping,14.383131944628133,6
find,10.764150423492437,4
excitement.,15.977372258937299,10
sadly,16.01509192488646,5
discovered,14.150208855799514,10
contained,15.113945311812742,9
small,11.59171856643955,5
amount,12.854752972273344,6
reach.,13.486967755612671,5
They,8.305859726259708,4
everything,11.492776716745913,10
think,9.702749878828293,5
get,9.032211646401063,3
efforts,14.051372840381076,7
vain.,17.472136950686878,4
"Finally,",12.722115203695225,7
stones,15.58107132224004,6
carry,13.653583822024409,5
"beak,",18.931568569324174,4
raising,15.182034301654912,7
water,11.560881162516957,5
level,11.925944020130295,5
within,11.828280760912152,6
reach,13.486967755612671,5
saving,14.649870319225345,6
cat,14.017482472311452,3
rooster,18.902999417127404,7
reasonable,14.649870319225345,10
excuse,14.749670926215785,6
accused,15.083571662769224,7
nuisance,18.271644010921797,8
people,9.133907043470414,6
crowing,21.492211390849917,7
keeping,13.818868436574812,7
"blinking,",18.931568569324174,8
feigned,21.093221832802943,7
indignation.,19.66853416349038,11
defended,16.609640474436812,8
"himself,",12.455835138357777,7
actually,11.6601055414198,8
helped,13.68554058879607,6
waking,16.776143137576977,6
time,9.002310160687202,4
"past,",12.09236478122723,4
quiet,14.44936564302822,5
pride.,14.982033636307161,5
“No,8.802285552379209,2
excuses,16.776143137576977,7
"give,",10.92875355371712,4
I’m,9.470089122038019,3
going,10.16503966072531,5
miss,12.556529137977249,4
"meal,”",15.015091924886457,4
ate,15.478709604610364,3
house,10.92875355371712,5
overrun,18.736220971001956,7
mice.,16.310982158872296,4
catching,15.949715916034434,8
eating,13.785891114128539,6
one.,8.405069330187608,3
Fearing,17.97179841411271,7
"lives,",12.823044112546006,5
mice,16.310982158872296,4
mirrors,17.240034404404973,7
out.,8.702749878828293,3
Realizing,16.70969148824714,9
lure,17.705060039515494,4
trick.,15.015091924886457,5
She,9.101845834238116,3
"thought,",11.327942224337981,7
herself,14.017482472311452,7
dead.,12.655444164049937,4
cautiously,18.868065627018016,10
peeked,21.125863384485662,6
“Nice,12.06120384974077,4
"try,",11.627787821147072,3
"madam,",17.97179841411271,5
sack,16.90831321702387,4
