Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,PositionInSentence,SentenceLength,RelativePosition,RelativeBin,DistType,MapSentenceIndex,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,Offset,ItemID,Condition
P096,Story6,CD,and,401.2999999523472,K-1|K+1,22,2,5.994709277154125,1,False,6,1,5.282087830355572,3,21.0,5.879694646198291,Story6_CD_w22,0.02000156336241421,9,18,0.5294117647058824,0.55,CD,2,K-1,22,22,and,and,-1,CD_Story6_s2_d22_o22_K-1,CD
P096,Story6,CD,and,401.2999999523472,K-1|K+1,22,2,5.994709277154125,1,False,6,1,5.282087830355572,3,21.0,5.879694646198291,Story6_CD_w22,0.02000156336241421,9,18,0.5294117647058824,0.55,CD,2,K+1,22,22,and,and,1,CD_Story6_s2_d22_o22_K+1,CD
P096,Story6,CD,"hand,",384.6999999999789,K|K+2,23,2,5.952463809758195,1,False,6,1,11.925944020130295,4,22.0,5.994709277154125,Story6_CD_w23,-0.06985912199372546,10,18,0.5882352941176471,0.55,CD,2,K,23,23,"hand,","wig,",0,CD_Story6_s2_d23_o23_K,CD
P096,Story6,CD,"hand,",384.6999999999789,K|K+2,23,2,5.952463809758195,1,False,6,1,11.925944020130295,4,22.0,5.994709277154125,Story6_CD_w23,-0.06985912199372546,10,18,0.5882352941176471,0.55,CD,2,K+2,23,23,"hand,","wig,",2,CD_Story6_s2_d23_o23_K+2,CD
P096,Story6,CD,causing,1423.699999976148,K+1|K+3,24,2,7.261014395602946,1,False,6,1,14.848355201075192,7,23.0,5.952463809758195,Story6_CD_w24,1.256180779090064,11,18,0.6470588235294118,0.65,CD,2,K+1,24,24,causing,causing,1,CD_Story6_s2_d24_o24_K+1,CD
P096,Story6,CD,causing,1423.699999976148,K+1|K+3,24,2,7.261014395602946,1,False,6,1,14.848355201075192,7,23.0,5.952463809758195,Story6_CD_w24,1.256180779090064,11,18,0.6470588235294118,0.65,CD,2,K+3,24,24,causing,causing,3,CD_Story6_s2_d24_o24_K+3,CD
P096,Story6,CD,his,545.5999999046326,K+2,25,2,6.301886106354458,1,False,6,1,8.269790471552188,3,24.0,7.261014395602946,Story6_CD_w25,-0.24467790427571234,12,18,0.7058823529411765,0.75,CD,2,K+2,25,25,his,his,2,CD_Story6_s2_d25_o25_K+2,CD
P096,Story6,CD,companions,576.5,K+3,26,2,6.3569753397091135,1,False,6,1,17.30629807994948,10,25.0,6.301886106354458,Story6_CD_w26,0.20748344212086778,13,18,0.7647058823529411,0.75,CD,2,K+3,26,26,companions,companions,3,CD_Story6_s2_d26_o26_K+3,CD
P096,Story6,CD,laughter.,1806.399999952322,K_END,30,2,7.499091193369003,1,False,6,1,16.27621674071162,8,29.0,5.855931151676357,Story6_CD_w30,1.5342213929084476,17,18,1.0,0.95,CD,2,K_END,30,30,laughter.,laughter.,4,CD_Story6_s2_d30_o30_K_END,CD
P096,Story6,CD,the,453.7999999523163,K-3,58,3,6.117656572240665,1,False,6,1,4.218934101564037,3,57.0,6.407704728384105,Story6_CD_w58,-0.07564346271512701,27,35,0.7941176470588235,0.75,CD,3,K-3,58,58,the,the,-3,CD_Story6_s3_d58_o58_K-3,CD
P096,Story6,CD,man,485.6999999284744,K-2,59,3,6.185591149204436,1,False,6,1,10.563062107816481,3,58.0,6.117656572240665,Story6_CD_w59,0.11236893442641183,28,35,0.8235294117647058,0.85,CD,3,K-2,59,59,man,man,-2,CD_Story6_s3_d59_o59_K-2,CD
P096,Story6,CD,whose,541.7000000000116,K-1,60,3,6.294712342663875,1,False,6,1,13.06120384974077,5,59.0,6.185591149204436,Story6_CD_w60,0.19336570873776182,29,35,0.8529411764705882,0.85,CD,3,K-1,60,60,whose,whose,-1,CD_Story6_s3_d60_o60_K-1,CD
P096,Story6,CD,pocket,552.0999999523046,K,61,3,6.31372918920361,1,False,6,1,15.015091924886457,6,60.0,6.294712342663875,Story6_CD_w61,0.1672071774367021,30,35,0.8823529411764706,0.85,CD,3,K,61,61,pocket,head,0,CD_Story6_s3_d61_o61_K,CD
P096,Story6,CD,they,526.2999999523163,K+1,62,3,6.265871392269132,1,False,6,1,8.305859726259708,4,61.0,6.31372918920361,Story6_CD_w62,0.11147654479966818,31,35,0.9117647058823529,0.95,CD,3,K+1,62,62,they,they,1,CD_Story6_s3_d62_o62_K+1,CD
P096,Story6,CD,originally,518.6999999762047,K+2,63,3,6.25132568131148,1,False,6,1,14.316858725208967,10,62.0,6.265871392269132,Story6_CD_w63,0.11674361255714949,32,35,0.9411764705882353,0.95,CD,3,K+2,63,63,originally,originally,2,CD_Story6_s3_d63_o63_K+2,CD
P096,Story6,CD,belonged,495.7999999761741,K+3,64,3,6.206172619553034,1,False,6,1,16.581071322240042,8,63.0,6.25132568131148,Story6_CD_w64,0.07761236899591051,33,35,0.9705882352941176,0.95,CD,3,K+3,64,64,belonged,belonged,3,CD_Story6_s3_d64_o64_K+3,CD
P096,Story6,CD,"to?""",749.4000000953674,K_END,65,3,6.619272886486845,1,False,6,1,5.216250016992825,2,64.0,6.206172619553034,Story6_CD_w65,0.5094056740182822,34,35,1.0,0.95,CD,3,K_END,65,65,"to?""","to?""",4,CD_Story6_s3_d65_o65_K_END,CD
P096,Story7,CD,with,351.2999999521999,K-3,21,2,5.861640559135715,1,False,7,1,7.142034924353815,4,20.0,5.736249664716768,Story7_CD_w21,-0.053681979032870863,7,17,0.4375,0.45,CD,2,K-3,21,21,with,with,-3,CD_Story7_s2_d21_o21_K-3,CD
P096,Story7,CD,a,311.1000000238419,K-2,22,2,5.740114403980229,1,False,7,1,5.448508591452505,1,21.0,5.861640559135715,Story7_CD_w22,-0.2271190495072659,8,17,0.5,0.45,CD,2,K-2,22,22,a,a,-2,CD_Story7_s2_d22_o22_K-2,CD
P096,Story7,CD,hard,452.8999999761581,K-1,23,2,6.115671350509525,1,False,7,1,11.52642710618783,4,22.0,5.740114403980229,Story7_CD_w23,0.19874883848665892,9,17,0.5625,0.55,CD,2,K-1,23,23,hard,hard,-1,CD_Story7_s2_d23_o23_K-1,CD
P096,Story7,CD,feather,1399.200000047684,K,24,2,7.243655923738471,1,False,7,1,17.63878682009633,7,23.0,6.115671350509525,Story7_CD_w24,1.1712555762710846,10,17,0.625,0.65,CD,2,K,24,24,feather,slap,0,CD_Story7_s2_d24_o24_K,CD
