DistType,Story,SentenceIndex,PositionUnitID,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story3,3,CD_Story3_s3,K,46,46,light,space,5.850295543670654,3.4752955436706543,2.375,0.05084395408630371
CD,Story3,3,CD_Story3_s3,K+1,47,47,for,for,0.7260887622833252,0.2455042451620102,0.480584517121315,0.017964482307434082
CD,Story3,3,CD_Story3_s3,K+2,48,48,one,one,5.513354301452637,2.0239570140838623,3.4893972873687744,0.025598347187042236
CD,Story3,3,CD_Story3_s3,K+3,49,49,"person,","person,",3.0107836723327637,1.861008882522583,1.1497747898101807,0.0037990808486938477
CD,Story3,3,CD_Story3_s3,K_END,62,62,it.,it.,4.126269817352295,5.059335708618164,-0.9330658912658691,0.0006071925163269043
CD,Story3,4,CD_Story3_s4,K-3,72,72,"donkey,","donkey,",8.713059425354004,9.42697525024414,-0.7139158248901367,0.0002936720848083496
CD,Story3,4,CD_Story3_s4,K-2,73,73,not,not,0.4945564270019531,0.49738675355911255,-0.002830326557159424,0.0006342530250549316
CD,Story3,4,CD_Story3_s4,K-1,74,74,its,its,0.510359525680542,0.5237641334533691,-0.013404607772827148,0.0011764168739318848
CD,Story3,4,CD_Story3_s4,K,75,75,"answer,","shadow,",17.165454864501953,1.0344281196594238,16.13102674484253,0.025336265563964844
CD,Story3,4,CD_Story3_s4,K+1,76,76,speaking,speaking,14.23843002319336,15.146867752075195,-0.9084377288818359,0.027947723865509033
CD,Story3,4,CD_Story3_s4,K+2,77,77,in,in,2.8193178176879883,1.9261618852615356,0.8931559324264526,0.019042789936065674
CD,Story3,4,CD_Story3_s4,K+3,78,78,a,a,7.1680145263671875,7.409303188323975,-0.2412886619567871,0.006205201148986816
CD,Story3,4,CD_Story3_s4,K_END,85,85,serious.,serious.,9.682889938354492,9.641477584838867,0.041412353515625,0.003592550754547119
CD,Story3,6,CD_Story3_s6,K-3,111,111,and,and,9.063234329223633,9.019902229309082,0.04333209991455078,0.0001823902130126953
CD,Story3,6,CD_Story3_s6,K-2,112,112,amid,amid,9.367795944213867,9.353137969970703,0.014657974243164062,0.00010639429092407227
CD,Story3,6,CD_Story3_s6,K-1,113,113,the,the,2.550135612487793,2.660365581512451,-0.1102299690246582,0.0001456141471862793
CD,Story3,6,CD_Story3_s6,K,114,114,"rumors,","chaos,",27.951431274414062,4.966544151306152,22.98488712310791,0.019371747970581055
CD,Story3,6,CD_Story3_s6,K+1,115,115,the,the,11.030668258666992,9.789212226867676,1.2414560317993164,0.03141748905181885
CD,Story3,6,CD_Story3_s6,K+2,116,116,donkey,donkey,5.796675682067871,4.276605129241943,1.5200705528259277,0.01589411497116089
CD,Story3,6,CD_Story3_s6,K+3,117,117,took,took,5.090096473693848,4.676776885986328,0.41331958770751953,0.006006479263305664
CD,Story3,6,CD_Story3_s6,K_END,121,121,away.,away.,1.7590150833129883,1.783642053604126,-0.024626970291137695,0.001863718032836914
RD,Story3,2,RD_Story3_s2,K-3,20,20,sun,sun,10.758052825927734,10.758052825927734,0.0,0.0
RD,Story3,2,RD_Story3_s2,K-2,21,21,blazing,blazing,3.681394338607788,3.681394338607788,0.0,-1.1920928955078125e-07
RD,Story3,2,RD_Story3_s2,K-1,22,22,"down,","down,",2.711463451385498,2.711463451385498,0.0,5.960464477539063e-08
RD,Story3,2,RD_Story3_s2,K,23,23,a,the,20.050891876220703,10.425891876220703,9.625,0.1394525170326233
RD,Story3,2,RD_Story3_s2,K+1,24,24,traveler,traveler,10.778382301330566,4.598221778869629,6.1801605224609375,0.010799229145050049
RD,Story3,2,RD_Story3_s2,K+2,25,25,decided,decided,3.5568580627441406,3.1405301094055176,0.41632795333862305,0.0025316476821899414
RD,Story3,2,RD_Story3_s2,K+3,26,26,to,to,1.0121140480041504,1.0385651588439941,-0.02645111083984375,0.002637624740600586
RD,Story3,2,RD_Story3_s2,K_END,39,39,shadow.,shadow.,7.041136741638184,7.288361072540283,-0.2472243309020996,0.0013079047203063965
RD,Story3,3,RD_Story3_s3,K-3,59,59,the,the,1.7711635828018188,1.804418683052063,-0.03325510025024414,0.0002650022506713867
RD,Story3,3,RD_Story3_s3,K-2,60,60,right,right,10.144065856933594,10.247962951660156,-0.1038970947265625,0.0002447366714477539
RD,Story3,3,RD_Story3_s3,K-1,61,61,to,to,0.900246262550354,0.8931266069412231,0.007119655609130859,0.0001838207244873047
RD,Story3,3,RD_Story3_s3,K,62,62,her.,it.,12.945241928100586,5.059335708618164,7.885906219482422,0.0034322142601013184
RD,Story3,3,RD_Story3_s3,K_END,62,62,her.,it.,12.945241928100586,5.059335708618164,7.885906219482422,0.0034322142601013184
RD,Story3,4,RD_Story3_s4,K-3,64,64,owner,owner,0.2522796094417572,0.2510158121585846,0.0012637972831726074,0.0006988644599914551
RD,Story3,4,RD_Story3_s4,K-2,65,65,argued,argued,1.4797340631484985,1.3935819864273071,0.0861520767211914,0.0007598400115966797
RD,Story3,4,RD_Story3_s4,K-1,66,66,that,that,0.47400546073913574,0.5191057920455933,-0.04510033130645752,0.0005180835723876953
RD,Story3,4,RD_Story3_s4,K,67,67,they,he,3.5246691703796387,1.4508578777313232,2.0738112926483154,0.062140583992004395
RD,Story3,4,RD_Story3_s4,K+1,68,68,had,had,1.2362295389175415,0.635478138923645,0.6007513999938965,0.007308304309844971
RD,Story3,4,RD_Story3_s4,K+2,69,69,only,only,6.0327982902526855,6.51226806640625,-0.47946977615356445,0.0056781768798828125
RD,Story3,4,RD_Story3_s4,K+3,70,70,lent,lent,7.0253801345825195,5.177224636077881,1.8481554985046387,0.008628666400909424
RD,Story3,4,RD_Story3_s4,K_END,85,85,serious.,serious.,9.722174644470215,9.641477584838867,0.08069705963134766,0.00170058012008667
